#addr	size	name	source	provenance
0x800302c8	236	SPRINTF_OBJ_390	main	-
0x800303b4	256	switchD_8007710c__caseD_6f	main	-
0x800304dc	260	SPRINTF_OBJ_5A4	main	-
0x800305e0	32	switchD_8007710c__caseD_63	main	-
0x80030600	140	switchD_8007710c__caseD_73	main	-
0x8003068c	52	switchD_8007710c__caseD_6e	main	-
0x800306d8	140	SPRINTF_OBJ_7A0	main	-
0x80030764	84	SPRINTF_OBJ_82C	main	-
0x800307b8	100	memmove	main	-
0x80030828	40	puts	main	-
0x80030850	44	PUTS_OBJ_28	main	-
0x80030888	44	rsin	main	-
0x800308c4	136	sin_1	main	-
0x80030958	152	rcos	main	-
0x80030a00	128	InitGeom	main	-
0x80030a88	132	SquareRoot0	main	-
0x80030b18	268	MulMatrix0	main	-
0x80030c28	352	ApplyMatrixLV	main	-
0x80030d88	164	PushMatrix	main	-
0x80030e2c	164	PopMatrix	main	-
0x80030ed8	268	MulMatrix	main	-
0x80030fe8	268	MulMatrix2	main	-
0x800310f8	36	TransMatrix	main	-
0x80031128	312	ScaleMatrix	main	-
0x80031268	48	SetRotMatrix	main	-
0x80031298	48	SetLightMatrix	main	-
0x800312c8	48	SetColorMatrix	main	-
0x800312f8	32	SetTransMatrix	main	-
0x80031348	32	SetVertexTri	main	-
0x80031438	32	SetBackColor	main	-
0x80031458	32	SetFarColor	main	-
0x800314a8	44	RotTransPers	main	-
0x800314d8	40	RotTrans	main	-
0x80031508	120	RotTransPers4	main	-
0x80031588	64	TransposeMatrix	main	-
0x800315c8	100	RotMatrix	main	-
0x8003162c	104	FGO_01_OBJ_64	main	-
0x80031694	148	FGO_01_OBJ_CC	main	-
0x80031728	300	FGO_01_OBJ_160	main	-
0x80031858	104	RotMatrixYXZ	main	-
0x800318c0	100	FGO_02_OBJ_68	main	-
0x80031924	148	FGO_02_OBJ_CC	main	-
0x800319b8	300	FGO_02_OBJ_160	main	-
0x80031ae8	316	GsTMDfastNF3	main	-
0x80031c24	320	GsTMDfastF3NL	main	-
0x80031d64	328	GsTMDfastF3L	main	-
0x80031eac	328	GsTMDfastF3LFG	main	-
0x80031ff8	360	GsTMDfastNF4	main	-
0x80032160	364	GsTMDfastF4NL	main	-
0x800322cc	376	GsTMDfastF4L	main	-
0x80032444	376	GsTMDfastF4LFG	main	-
0x800325c8	328	GsTMDfastNG3	main	-
0x80032710	320	GsTMDfastG3NL	main	-
0x80032850	400	GsTMDfastG3L	main	-
0x800329e0	400	GsTMDfastG3LFG	main	-
0x80032b78	384	GsTMDfastNG4	main	-
0x80032cf8	372	GsTMDfastG4NL	main	-
0x80032e6c	480	GsTMDfastG4L	main	-
0x8003304c	480	GsTMDfastG4LFG	main	-
0x80033238	364	GsTMDfastTNF3	main	-
0x800333a4	356	GsTMDfastTF3NL	main	-
0x80033508	368	GsTMDfastTF3L	main	-
0x80033678	368	GsTMDfastTF3LFG	main	-
0x800337e8	416	GsTMDfastTNF4	main	-
0x80033988	412	GsTMDfastTF4NL	main	-
0x80033b24	428	GsTMDfastTF4L	main	-
0x80033cd0	428	GsTMDfastTF4LFG	main	-
