#addr	size	name	source	provenance
0x80038d40	68	SPRINTF_OBJ_258	main	-
0x80038d84	36	SPRINTF_OBJ_2A0	demo	ghidra
0x80038dcc	32	SPRINTF_OBJ_2E4	main	-
0x80038dec	88	SPRINTF_OBJ_308	demo	ghidra
0x80038e44	52	switchD_8007710c__caseD_75	main	-
0x80038e78	236	SPRINTF_OBJ_394	demo	ghidra
0x80038f64	256	SPRINTF_OBJ_480	demo	ghidra
0x8003908c	256	SPRINTF_OBJ_5A8	demo	ghidra
0x8003918c	32	switchD_8007710c__caseD_63	main	-
0x800391ac	140	switchD_8007710c__caseD_73	main	-
0x80039238	52	switchD_8007710c__caseD_6e	main	-
0x80039284	140	SPRINTF_OBJ_7A0	demo	ghidra
0x80039310	88	SPRINTF_OBJ_82C	demo	ghidra
0x80039384	100	memmove	main	-
0x800393f4	44	rsin	main	-
0x80039430	136	sin_1	main	-
0x800394c4	152	rcos	main	-
0x8003956c	128	InitGeom	main	-
0x800395f4	132	SquareRoot0	main	-
0x80039684	268	MulMatrix0	main	-
0x80039794	352	ApplyMatrixLV	main	-
0x800398f4	164	PushMatrix	main	-
0x80039998	164	PopMatrix	main	-
0x80039a44	268	MulMatrix	main	-
0x80039b54	268	MulMatrix2	main	-
0x80039c64	36	TransMatrix	main	-
0x80039c94	312	ScaleMatrix	main	-
0x80039dd4	48	SetRotMatrix	main	-
0x80039e04	48	SetLightMatrix	main	-
0x80039e34	48	SetColorMatrix	main	-
0x80039e64	32	SetTransMatrix	main	-
0x80039eb4	32	SetVertexTri	main	-
0x80039fa4	32	SetBackColor	main	-
0x80039fc4	32	SetFarColor	main	-
0x8003a014	44	RotTransPers	main	-
0x8003a044	40	RotTrans	main	-
0x8003a074	120	RotTransPers4	main	-
0x8003a0f4	64	TransposeMatrix	main	-
0x8003a134	100	RotMatrix	main	-
0x8003a198	104	FGO_01_OBJ_64	main	-
0x8003a200	148	FGO_01_OBJ_CC	main	-
0x8003a294	300	FGO_01_OBJ_160	main	-
0x8003a3c4	104	RotMatrixYXZ	main	-
0x8003a42c	100	FGO_02_OBJ_68	main	-
0x8003a490	148	FGO_02_OBJ_CC	main	-
0x8003a524	300	FGO_02_OBJ_160	main	-
