#addr	size	name
0x80031728	304	FGO_01_OBJ_160
0x80031858	104	RotMatrixYXZ
0x800318c0	100	FGO_02_OBJ_68
0x80031924	148	FGO_02_OBJ_CC
0x800319b8	304	FGO_02_OBJ_160
0x80031ae8	316	GsTMDfastNF3
0x80031c24	320	GsTMDfastF3NL
0x80031d64	328	GsTMDfastF3L
0x80031eac	332	GsTMDfastF3LFG
0x80031ff8	360	GsTMDfastNF4
0x80032160	364	GsTMDfastF4NL
0x800322cc	376	GsTMDfastF4L
0x80032444	388	GsTMDfastF4LFG
0x800325c8	328	GsTMDfastNG3
0x80032710	320	GsTMDfastG3NL
0x80032850	400	GsTMDfastG3L
0x800329e0	408	GsTMDfastG3LFG
0x80032b78	384	GsTMDfastNG4
0x80032cf8	372	GsTMDfastG4NL
0x80032e6c	480	GsTMDfastG4L
0x8003304c	492	GsTMDfastG4LFG
0x80033238	364	GsTMDfastTNF3
0x800333a4	356	GsTMDfastTF3NL
0x80033508	368	GsTMDfastTF3L
0x80033678	368	GsTMDfastTF3LFG
0x800337e8	416	GsTMDfastTNF4
0x80033988	412	GsTMDfastTF4NL
0x80033b24	428	GsTMDfastTF4L
0x80033cd0	440	GsTMDfastTF4LFG
0x80033e88	376	GsTMDfastTNG3
0x80034000	348	GsTMDfastTG3NL
0x8003415c	436	GsTMDfastTG3L
0x80034310	440	GsTMDfastTG3LFG
0x800344c8	444	GsTMDfastTNG4
0x80034684	408	GsTMDfastTG4NL
0x8003481c	524	GsTMDfastTG4L
0x80034a28	1104	GsTMDfastTG4LFG
0x80034e78	32	FUN_80034e78
0x80034e98	784	FUN_80034e98
0x800351a8	704	FUN_800351a8
0x80035468	1608	FUN_80035468
0x80035ab0	36	FUN_80035ab0
0x80035ad4	72	FUN_80035ad4
0x80035b1c	32	FUN_80035b1c
0x80035b3c	188	FUN_80035b3c
0x80035bf8	3440	FUN_80035bf8
0x80036968	4320	FUN_80036968
0x80037a48	32	FUN_80037a48
0x80037a68	10056	FUN_80037a68
0x8003a1b0	792	FUN_8003a1b0
0x8003a4c8	88	FUN_8003a4c8
0x8003a520	884	FUN_8003a520
0x8003a894	140	FUN_8003a894
0x8003a920	932	FUN_8003a920
0x8003acc4	108	FUN_8003acc4
0x8003ad30	1028	FUN_8003ad30
0x8003b134	156	FUN_8003b134
0x8003b1d0	1056	FUN_8003b1d0
0x8003b5f0	96	FUN_8003b5f0
0x8003b650	1160	FUN_8003b650
0x8003bad8	152	FUN_8003bad8
0x8003bb70	1236	FUN_8003bb70
0x8003c044	124	FUN_8003c044
0x8003c0c0	1380	FUN_8003c0c0
0x8003c624	180	FUN_8003c624
0x8003c6d8	224	_patch_gte
0x8003c7b8	16	FUN_8003c7b8
0x8003c7c8	376	VSync
0x8003c940	152	VSYNC_OBJ_178
0x8003c9d8	16	FUN_8003c9d8
0x8003c9e8	48	FUN_8003c9e8
0x8003ca18	48	FUN_8003ca18
0x8003ca48	48	FUN_8003ca48
0x8003ca78	52	VSyncCallback
0x8003caac	48	FUN_8003caac
0x8003cadc	96	FUN_8003cadc
0x8003cb3c	40	FUN_8003cb3c
0x8003cb64	24	FUN_8003cb64
0x8003cb7c	216	INTR_OBJ_194
0x8003cc54	464	INTR_OBJ_26C
0x8003ce24	328	INTR_OBJ_43C
0x8003cf6c	160	INTR_OBJ_584
0x8003d00c	120	INTR_OBJ_624
0x8003d084	44	FUN_8003d084
0x8003d0b0	24	FUN_8003d0b0
0x8003d0c8	16	FUN_8003d0c8
0x8003d0d8	16	FUN_8003d0d8
0x8003d0e8	16	FUN_8003d0e8
0x8003d0f8	60	setjmp
0x8003d134	68	longjmp
0x8003d178	88	startIntrVSync
0x8003d1d0	108	INTR_VB_OBJ_58
